id;nome;pontuacao;inicio;prazo_envio
1;Argentine Peso;85835;2019-09-18;2019-09-18
2;red firewall open-source;34866;2019-09-18;2019-09-18
3;Quality;39757;2019-09-18;2019-09-18
4;hacking Forint bandwidth;20907;2019-09-17;2019-09-18
5;Fiji Dollar Profound Bacon;98216;2019-09-18;2019-09-18
6;content-based Executive;96541;2019-09-17;2019-09-18
7;THX pink even-keeled;70035;2019-09-17;2019-09-17
8;SCSI drive THX;85092;2019-09-18;2019-09-17
9;solid state;66898;2019-09-18;2019-09-18
10;transform;94013;2019-09-18;2019-09-17
